stimulus_id,ground_truth_tag,model,condition,epistemic_evidence,stem_term,source
S003,UNCERTAIN,claude-3.5-sonnet,3A,"appears, could",GH ,CoNLL-2010
S003,UNCERTAIN,gemini-1.5-pro,3A,"appears, could",GH ,CoNLL-2010
S003,UNCERTAIN,gpt-4o,3B,"appears, could",GH ,CoNLL-2010
S003,UNCERTAIN,claude-3.5-sonnet,3B,"appears, could",GH ,CoNLL-2010
S003,UNCERTAIN,gemini-1.5-pro,3B,"appears, could",GH ,CoNLL-2010
S003,UNCERTAIN,gpt-4o,3C,"appears, could",GH ,CoNLL-2010
S003,UNCERTAIN,claude-3.5-sonnet,3C,"appears, could",GH ,CoNLL-2010
S003,UNCERTAIN,gemini-1.5-pro,3C,"appears, could",GH ,CoNLL-2010
S004,UNCERTAIN,gpt-4o,1A,"suggest, may",NF-,CoNLL-2010
S004,UNCERTAIN,claude-3.5-sonnet,1A,"suggest, may",NF-,CoNLL-2010
S004,UNCERTAIN,gemini-1.5-pro,1A,"suggest, may",NF-,CoNLL-2010
S004,UNCERTAIN,gpt-4o,1B,"suggest, may",NF-,CoNLL-2010
S004,UNCERTAIN,claude-3.5-sonnet,1B,"suggest, may",NF-,CoNLL-2010
S004,UNCERTAIN,gemini-1.5-pro,1B,"suggest, may",NF-,CoNLL-2010
S004,UNCERTAIN,gpt-4o,1C,"suggest, may",NF-,CoNLL-2010
S004,UNCERTAIN,claude-3.5-sonnet,1C,"suggest, may",NF-,CoNLL-2010
S004,UNCERTAIN,gemini-1.5-pro,1C,"suggest, may",NF-,CoNLL-2010
S004,UNCERTAIN,gpt-4o,2A,"suggest, may",NF-,CoNLL-2010
S004,UNCERTAIN,claude-3.5-sonnet,2A,"suggest, may",NF-,CoNLL-2010
S004,UNCERTAIN,gemini-1.5-pro,2A,"suggest, may",NF-,CoNLL-2010
S004,UNCERTAIN,gpt-4o,2B,"suggest, may",NF-,CoNLL-2010
S004,UNCERTAIN,claude-3.5-sonnet,2B,"suggest, may",NF-,CoNLL-2010
S004,UNCERTAIN,gemini-1.5-pro,2B,"suggest, may",NF-,CoNLL-2010
S004,UNCERTAIN,gpt-4o,3A,"suggest, may",NF-,CoNLL-2010
S004,UNCERTAIN,claude-3.5-sonnet,3A,"suggest, may",NF-,CoNLL-2010
S004,UNCERTAIN,gemini-1.5-pro,3A,"suggest, may",NF-,CoNLL-2010
S004,UNCERTAIN,gpt-4o,3B,"suggest, may",NF-,CoNLL-2010
S004,UNCERTAIN,claude-3.5-sonnet,3B,"suggest, may",NF-,CoNLL-2010
S004,UNCERTAIN,gemini-1.5-pro,3B,"suggest, may",NF-,CoNLL-2010
S004,UNCERTAIN,gpt-4o,3C,"suggest, may",NF-,CoNLL-2010
S004,UNCERTAIN,claude-3.5-sonnet,3C,"suggest, may",NF-,CoNLL-2010
S004,UNCERTAIN,gemini-1.5-pro,3C,"suggest, may",NF-,CoNLL-2010
S005,UNCERTAIN,gpt-4o,1A,indicate that,supershift,CoNLL-2010
S005,UNCERTAIN,claude-3.5-sonnet,1A,indicate that,supershift,CoNLL-2010
S005,UNCERTAIN,gemini-1.5-pro,1A,indicate that,supershift,CoNLL-2010
S005,UNCERTAIN,gpt-4o,1B,indicate that,supershift,CoNLL-2010
S005,UNCERTAIN,claude-3.5-sonnet,1B,indicate that,supershift,CoNLL-2010
S005,UNCERTAIN,gemini-1.5-pro,1B,indicate that,supershift,CoNLL-2010
S005,UNCERTAIN,gpt-4o,1C,indicate that,supershift,CoNLL-2010
S005,UNCERTAIN,claude-3.5-sonnet,1C,indicate that,supershift,CoNLL-2010
S005,UNCERTAIN,gemini-1.5-pro,1C,indicate that,supershift,CoNLL-2010
S005,UNCERTAIN,gpt-4o,2A,indicate that,supershift,CoNLL-2010
S005,UNCERTAIN,claude-3.5-sonnet,2A,indicate that,supershift,CoNLL-2010
S005,UNCERTAIN,gemini-1.5-pro,2A,indicate that,supershift,CoNLL-2010
S005,UNCERTAIN,gpt-4o,2B,indicate that,supershift,CoNLL-2010
S005,UNCERTAIN,claude-3.5-sonnet,2B,indicate that,supershift,CoNLL-2010
S005,UNCERTAIN,gemini-1.5-pro,2B,indicate that,supershift,CoNLL-2010
S005,UNCERTAIN,gpt-4o,3A,indicate that,supershift,CoNLL-2010
S005,UNCERTAIN,claude-3.5-sonnet,3A,indicate that,supershift,CoNLL-2010
S005,UNCERTAIN,gemini-1.5-pro,3A,indicate that,supershift,CoNLL-2010
S005,UNCERTAIN,gpt-4o,3B,indicate that,supershift,CoNLL-2010
S005,UNCERTAIN,claude-3.5-sonnet,3B,indicate that,supershift,CoNLL-2010
S005,UNCERTAIN,gemini-1.5-pro,3B,indicate that,supershift,CoNLL-2010
S005,UNCERTAIN,gpt-4o,3C,indicate that,supershift,CoNLL-2010
S005,UNCERTAIN,claude-3.5-sonnet,3C,indicate that,supershift,CoNLL-2010
S005,UNCERTAIN,gemini-1.5-pro,3C,indicate that,supershift,CoNLL-2010
S006,UNCERTAIN,gpt-4o,1A,hypothesize,GATA-1,CoNLL-2010
S006,UNCERTAIN,claude-3.5-sonnet,1A,hypothesize,GATA-1,CoNLL-2010
S006,UNCERTAIN,gemini-1.5-pro,1A,hypothesize,GATA-1,CoNLL-2010
S006,UNCERTAIN,gpt-4o,1B,hypothesize,GATA-1,CoNLL-2010
S006,UNCERTAIN,claude-3.5-sonnet,1B,hypothesize,GATA-1,CoNLL-2010
S006,UNCERTAIN,gemini-1.5-pro,1B,hypothesize,GATA-1,CoNLL-2010
S006,UNCERTAIN,gpt-4o,1C,hypothesize,GATA-1,CoNLL-2010
S006,UNCERTAIN,claude-3.5-sonnet,1C,hypothesize,GATA-1,CoNLL-2010
S006,UNCERTAIN,gemini-1.5-pro,1C,hypothesize,GATA-1,CoNLL-2010
S006,UNCERTAIN,gpt-4o,2A,hypothesize,GATA-1,CoNLL-2010
S006,UNCERTAIN,claude-3.5-sonnet,2A,hypothesize,GATA-1,CoNLL-2010
S006,UNCERTAIN,gemini-1.5-pro,2A,hypothesize,GATA-1,CoNLL-2010
S006,UNCERTAIN,gpt-4o,2B,hypothesize,GATA-1,CoNLL-2010
S006,UNCERTAIN,claude-3.5-sonnet,2B,hypothesize,GATA-1,CoNLL-2010
S006,UNCERTAIN,gemini-1.5-pro,2B,hypothesize,GATA-1,CoNLL-2010
S006,UNCERTAIN,gpt-4o,3A,hypothesize,GATA-1,CoNLL-2010
S006,UNCERTAIN,claude-3.5-sonnet,3A,hypothesize,GATA-1,CoNLL-2010
S006,UNCERTAIN,gemini-1.5-pro,3A,hypothesize,GATA-1,CoNLL-2010
S006,UNCERTAIN,gpt-4o,3B,hypothesize,GATA-1,CoNLL-2010
S006,UNCERTAIN,claude-3.5-sonnet,3B,hypothesize,GATA-1,CoNLL-2010
S006,UNCERTAIN,gemini-1.5-pro,3B,hypothesize,GATA-1,CoNLL-2010
S006,UNCERTAIN,gpt-4o,3C,hypothesize,GATA-1,CoNLL-2010
S006,UNCERTAIN,claude-3.5-sonnet,3C,hypothesize,GATA-1,CoNLL-2010
S006,UNCERTAIN,gemini-1.5-pro,3C,hypothesize,GATA-1,CoNLL-2010
S007,UNCERTAIN,gpt-4o,1A,"suggests, or",MZF-1,CoNLL-2010
S007,UNCERTAIN,claude-3.5-sonnet,1A,"suggests, or",MZF-1,CoNLL-2010
S007,UNCERTAIN,gemini-1.5-pro,1A,"suggests, or",MZF-1,CoNLL-2010
S007,UNCERTAIN,gpt-4o,1B,"suggests, or",MZF-1,CoNLL-2010
S007,UNCERTAIN,claude-3.5-sonnet,1B,"suggests, or",MZF-1,CoNLL-2010
S007,UNCERTAIN,gemini-1.5-pro,1B,"suggests, or",MZF-1,CoNLL-2010
S007,UNCERTAIN,gpt-4o,1C,"suggests, or",MZF-1,CoNLL-2010
S007,UNCERTAIN,claude-3.5-sonnet,1C,"suggests, or",MZF-1,CoNLL-2010
S007,UNCERTAIN,gemini-1.5-pro,1C,"suggests, or",MZF-1,CoNLL-2010
S007,UNCERTAIN,gpt-4o,2A,"suggests, or",MZF-1,CoNLL-2010
S007,UNCERTAIN,claude-3.5-sonnet,2A,"suggests, or",MZF-1,CoNLL-2010
S007,UNCERTAIN,gemini-1.5-pro,2A,"suggests, or",MZF-1,CoNLL-2010
S007,UNCERTAIN,gpt-4o,2B,"suggests, or",MZF-1,CoNLL-2010
S007,UNCERTAIN,claude-3.5-sonnet,2B,"suggests, or",MZF-1,CoNLL-2010
S007,UNCERTAIN,gemini-1.5-pro,2B,"suggests, or",MZF-1,CoNLL-2010
S007,UNCERTAIN,gpt-4o,3A,"suggests, or",MZF-1,CoNLL-2010
S007,UNCERTAIN,claude-3.5-sonnet,3A,"suggests, or",MZF-1,CoNLL-2010
S007,UNCERTAIN,gemini-1.5-pro,3A,"suggests, or",MZF-1,CoNLL-2010
S007,UNCERTAIN,gpt-4o,3B,"suggests, or",MZF-1,CoNLL-2010
S007,UNCERTAIN,claude-3.5-sonnet,3B,"suggests, or",MZF-1,CoNLL-2010
S007,UNCERTAIN,gemini-1.5-pro,3B,"suggests, or",MZF-1,CoNLL-2010
S007,UNCERTAIN,gpt-4o,3C,"suggests, or",MZF-1,CoNLL-2010
S007,UNCERTAIN,claude-3.5-sonnet,3C,"suggests, or",MZF-1,CoNLL-2010
S007,UNCERTAIN,gemini-1.5-pro,3C,"suggests, or",MZF-1,CoNLL-2010
S008,UNCERTAIN,gpt-4o,1A,may,NF-,CoNLL-2010
S008,UNCERTAIN,claude-3.5-sonnet,1A,may,NF-,CoNLL-2010
S008,UNCERTAIN,gemini-1.5-pro,1A,may,NF-,CoNLL-2010
S008,UNCERTAIN,gpt-4o,1B,may,NF-,CoNLL-2010
S008,UNCERTAIN,claude-3.5-sonnet,1B,may,NF-,CoNLL-2010
S008,UNCERTAIN,gemini-1.5-pro,1B,may,NF-,CoNLL-2010
S008,UNCERTAIN,gpt-4o,1C,may,NF-,CoNLL-2010
S008,UNCERTAIN,claude-3.5-sonnet,1C,may,NF-,CoNLL-2010
S008,UNCERTAIN,gemini-1.5-pro,1C,may,NF-,CoNLL-2010
S008,UNCERTAIN,gpt-4o,2A,may,NF-,CoNLL-2010
S008,UNCERTAIN,claude-3.5-sonnet,2A,may,NF-,CoNLL-2010
S008,UNCERTAIN,gemini-1.5-pro,2A,may,NF-,CoNLL-2010
S008,UNCERTAIN,gpt-4o,2B,may,NF-,CoNLL-2010
S008,UNCERTAIN,claude-3.5-sonnet,2B,may,NF-,CoNLL-2010
S008,UNCERTAIN,gemini-1.5-pro,2B,may,NF-,CoNLL-2010
S008,UNCERTAIN,gpt-4o,3A,may,NF-,CoNLL-2010
S008,UNCERTAIN,claude-3.5-sonnet,3A,may,NF-,CoNLL-2010
S008,UNCERTAIN,gemini-1.5-pro,3A,may,NF-,CoNLL-2010
S008,UNCERTAIN,gpt-4o,3B,may,NF-,CoNLL-2010
S008,UNCERTAIN,claude-3.5-sonnet,3B,may,NF-,CoNLL-2010
S008,UNCERTAIN,gemini-1.5-pro,3B,may,NF-,CoNLL-2010
S008,UNCERTAIN,gpt-4o,3C,may,NF-,CoNLL-2010
S008,UNCERTAIN,claude-3.5-sonnet,3C,may,NF-,CoNLL-2010
S008,UNCERTAIN,gemini-1.5-pro,3C,may,NF-,CoNLL-2010
S009,UNCERTAIN,gpt-4o,1A,propose,NF-,CoNLL-2010
S009,UNCERTAIN,claude-3.5-sonnet,1A,propose,NF-,CoNLL-2010
S009,UNCERTAIN,gemini-1.5-pro,1A,propose,NF-,CoNLL-2010
S009,UNCERTAIN,gpt-4o,1B,propose,NF-,CoNLL-2010
S009,UNCERTAIN,claude-3.5-sonnet,1B,propose,NF-,CoNLL-2010
S009,UNCERTAIN,gemini-1.5-pro,1B,propose,NF-,CoNLL-2010
S009,UNCERTAIN,gpt-4o,1C,propose,NF-,CoNLL-2010
S009,UNCERTAIN,claude-3.5-sonnet,1C,propose,NF-,CoNLL-2010
S009,UNCERTAIN,gemini-1.5-pro,1C,propose,NF-,CoNLL-2010
S009,UNCERTAIN,gpt-4o,2A,propose,NF-,CoNLL-2010
S009,UNCERTAIN,claude-3.5-sonnet,2A,propose,NF-,CoNLL-2010
S009,UNCERTAIN,gemini-1.5-pro,2A,propose,NF-,CoNLL-2010
S009,UNCERTAIN,gpt-4o,2B,propose,NF-,CoNLL-2010
S009,UNCERTAIN,claude-3.5-sonnet,2B,propose,NF-,CoNLL-2010
S009,UNCERTAIN,gemini-1.5-pro,2B,propose,NF-,CoNLL-2010
S009,UNCERTAIN,gpt-4o,3A,propose,NF-,CoNLL-2010
S009,UNCERTAIN,claude-3.5-sonnet,3A,propose,NF-,CoNLL-2010
S009,UNCERTAIN,gemini-1.5-pro,3A,propose,NF-,CoNLL-2010
S009,UNCERTAIN,gpt-4o,3B,propose,NF-,CoNLL-2010
S009,UNCERTAIN,claude-3.5-sonnet,3B,propose,NF-,CoNLL-2010
S009,UNCERTAIN,gemini-1.5-pro,3B,propose,NF-,CoNLL-2010
S009,UNCERTAIN,gpt-4o,3C,propose,NF-,CoNLL-2010
S009,UNCERTAIN,claude-3.5-sonnet,3C,propose,NF-,CoNLL-2010
S009,UNCERTAIN,gemini-1.5-pro,3C,propose,NF-,CoNLL-2010
S010,UNCERTAIN,gpt-4o,1A,"suggesting, may",IL-1,CoNLL-2010
S010,UNCERTAIN,claude-3.5-sonnet,1A,"suggesting, may",IL-1,CoNLL-2010
S010,UNCERTAIN,gemini-1.5-pro,1A,"suggesting, may",IL-1,CoNLL-2010
S010,UNCERTAIN,gpt-4o,1B,"suggesting, may",IL-1,CoNLL-2010
S010,UNCERTAIN,claude-3.5-sonnet,1B,"suggesting, may",IL-1,CoNLL-2010
S010,UNCERTAIN,gemini-1.5-pro,1B,"suggesting, may",IL-1,CoNLL-2010
S010,UNCERTAIN,gpt-4o,1C,"suggesting, may",IL-1,CoNLL-2010
S010,UNCERTAIN,claude-3.5-sonnet,1C,"suggesting, may",IL-1,CoNLL-2010
S010,UNCERTAIN,gemini-1.5-pro,1C,"suggesting, may",IL-1,CoNLL-2010
S010,UNCERTAIN,gpt-4o,2A,"suggesting, may",IL-1,CoNLL-2010
S010,UNCERTAIN,claude-3.5-sonnet,2A,"suggesting, may",IL-1,CoNLL-2010
S010,UNCERTAIN,gemini-1.5-pro,2A,"suggesting, may",IL-1,CoNLL-2010
S010,UNCERTAIN,gpt-4o,2B,"suggesting, may",IL-1,CoNLL-2010
S010,UNCERTAIN,claude-3.5-sonnet,2B,"suggesting, may",IL-1,CoNLL-2010
S010,UNCERTAIN,gemini-1.5-pro,2B,"suggesting, may",IL-1,CoNLL-2010
S010,UNCERTAIN,gpt-4o,3A,"suggesting, may",IL-1,CoNLL-2010
S010,UNCERTAIN,claude-3.5-sonnet,3A,"suggesting, may",IL-1,CoNLL-2010
S010,UNCERTAIN,gemini-1.5-pro,3A,"suggesting, may",IL-1,CoNLL-2010
S010,UNCERTAIN,gpt-4o,3B,"suggesting, may",IL-1,CoNLL-2010
S010,UNCERTAIN,claude-3.5-sonnet,3B,"suggesting, may",IL-1,CoNLL-2010
S010,UNCERTAIN,gemini-1.5-pro,3B,"suggesting, may",IL-1,CoNLL-2010
S010,UNCERTAIN,gpt-4o,3C,"suggesting, may",IL-1,CoNLL-2010
S010,UNCERTAIN,claude-3.5-sonnet,3C,"suggesting, may",IL-1,CoNLL-2010
S010,UNCERTAIN,gemini-1.5-pro,3C,"suggesting, may",IL-1,CoNLL-2010
S011,UNCERTAIN,gpt-4o,1A,"proposed, may",ETS1,CoNLL-2010
S011,UNCERTAIN,claude-3.5-sonnet,1A,"proposed, may",ETS1,CoNLL-2010
S011,UNCERTAIN,gemini-1.5-pro,1A,"proposed, may",ETS1,CoNLL-2010
S011,UNCERTAIN,gpt-4o,1B,"proposed, may",ETS1,CoNLL-2010
S011,UNCERTAIN,claude-3.5-sonnet,1B,"proposed, may",ETS1,CoNLL-2010
S011,UNCERTAIN,gemini-1.5-pro,1B,"proposed, may",ETS1,CoNLL-2010
S011,UNCERTAIN,gpt-4o,1C,"proposed, may",ETS1,CoNLL-2010
S011,UNCERTAIN,claude-3.5-sonnet,1C,"proposed, may",ETS1,CoNLL-2010
S011,UNCERTAIN,gemini-1.5-pro,1C,"proposed, may",ETS1,CoNLL-2010
S011,UNCERTAIN,gpt-4o,2A,"proposed, may",ETS1,CoNLL-2010
S011,UNCERTAIN,claude-3.5-sonnet,2A,"proposed, may",ETS1,CoNLL-2010
S011,UNCERTAIN,gemini-1.5-pro,2A,"proposed, may",ETS1,CoNLL-2010
S011,UNCERTAIN,gpt-4o,2B,"proposed, may",ETS1,CoNLL-2010
S011,UNCERTAIN,claude-3.5-sonnet,2B,"proposed, may",ETS1,CoNLL-2010
S011,UNCERTAIN,gemini-1.5-pro,2B,"proposed, may",ETS1,CoNLL-2010
S011,UNCERTAIN,gpt-4o,3A,"proposed, may",ETS1,CoNLL-2010
S011,UNCERTAIN,claude-3.5-sonnet,3A,"proposed, may",ETS1,CoNLL-2010
S011,UNCERTAIN,gemini-1.5-pro,3A,"proposed, may",ETS1,CoNLL-2010
S011,UNCERTAIN,gpt-4o,3B,"proposed, may",ETS1,CoNLL-2010
S011,UNCERTAIN,claude-3.5-sonnet,3B,"proposed, may",ETS1,CoNLL-2010
S011,UNCERTAIN,gemini-1.5-pro,3B,"proposed, may",ETS1,CoNLL-2010
S011,UNCERTAIN,gpt-4o,3C,"proposed, may",ETS1,CoNLL-2010
S011,UNCERTAIN,claude-3.5-sonnet,3C,"proposed, may",ETS1,CoNLL-2010
S011,UNCERTAIN,gemini-1.5-pro,3C,"proposed, may",ETS1,CoNLL-2010
S012,UNCERTAIN,gpt-4o,1A,suggested,PKC,CoNLL-2010
S012,UNCERTAIN,claude-3.5-sonnet,1A,suggested,PKC,CoNLL-2010
S012,UNCERTAIN,gemini-1.5-pro,1A,suggested,PKC,CoNLL-2010
S012,UNCERTAIN,gpt-4o,1B,suggested,PKC,CoNLL-2010
S012,UNCERTAIN,claude-3.5-sonnet,1B,suggested,PKC,CoNLL-2010
S012,UNCERTAIN,gemini-1.5-pro,1B,suggested,PKC,CoNLL-2010
S012,UNCERTAIN,gpt-4o,1C,suggested,PKC,CoNLL-2010
S012,UNCERTAIN,claude-3.5-sonnet,1C,suggested,PKC,CoNLL-2010
S012,UNCERTAIN,gemini-1.5-pro,1C,suggested,PKC,CoNLL-2010
S012,UNCERTAIN,gpt-4o,2A,suggested,PKC,CoNLL-2010
S012,UNCERTAIN,claude-3.5-sonnet,2A,suggested,PKC,CoNLL-2010
S012,UNCERTAIN,gemini-1.5-pro,2A,suggested,PKC,CoNLL-2010
S012,UNCERTAIN,gpt-4o,2B,suggested,PKC,CoNLL-2010
S012,UNCERTAIN,claude-3.5-sonnet,2B,suggested,PKC,CoNLL-2010
S012,UNCERTAIN,gemini-1.5-pro,2B,suggested,PKC,CoNLL-2010
S012,UNCERTAIN,gpt-4o,3A,suggested,PKC,CoNLL-2010
S012,UNCERTAIN,claude-3.5-sonnet,3A,suggested,PKC,CoNLL-2010
S012,UNCERTAIN,gemini-1.5-pro,3A,suggested,PKC,CoNLL-2010
S012,UNCERTAIN,gpt-4o,3B,suggested,PKC,CoNLL-2010
S012,UNCERTAIN,claude-3.5-sonnet,3B,suggested,PKC,CoNLL-2010
S012,UNCERTAIN,gemini-1.5-pro,3B,suggested,PKC,CoNLL-2010
S012,UNCERTAIN,gpt-4o,3C,suggested,PKC,CoNLL-2010
S012,UNCERTAIN,claude-3.5-sonnet,3C,suggested,PKC,CoNLL-2010
S012,UNCERTAIN,gemini-1.5-pro,3C,suggested,PKC,CoNLL-2010
S013,UNCERTAIN,gpt-4o,1A,appears,IBR,CoNLL-2010
S013,UNCERTAIN,claude-3.5-sonnet,1A,appears,IBR,CoNLL-2010
S013,UNCERTAIN,gemini-1.5-pro,1A,appears,IBR,CoNLL-2010
S013,UNCERTAIN,gpt-4o,1B,appears,IBR,CoNLL-2010
S013,UNCERTAIN,claude-3.5-sonnet,1B,appears,IBR,CoNLL-2010
S013,UNCERTAIN,gemini-1.5-pro,1B,appears,IBR,CoNLL-2010
S013,UNCERTAIN,gpt-4o,1C,appears,IBR,CoNLL-2010
S013,UNCERTAIN,claude-3.5-sonnet,1C,appears,IBR,CoNLL-2010
S013,UNCERTAIN,gemini-1.5-pro,1C,appears,IBR,CoNLL-2010
S013,UNCERTAIN,gpt-4o,2A,appears,IBR,CoNLL-2010
S013,UNCERTAIN,claude-3.5-sonnet,2A,appears,IBR,CoNLL-2010
S013,UNCERTAIN,gemini-1.5-pro,2A,appears,IBR,CoNLL-2010
S013,UNCERTAIN,gpt-4o,2B,appears,IBR,CoNLL-2010
S013,UNCERTAIN,claude-3.5-sonnet,2B,appears,IBR,CoNLL-2010
S013,UNCERTAIN,gemini-1.5-pro,2B,appears,IBR,CoNLL-2010
S013,UNCERTAIN,gpt-4o,3A,appears,IBR,CoNLL-2010
S013,UNCERTAIN,claude-3.5-sonnet,3A,appears,IBR,CoNLL-2010
S013,UNCERTAIN,gemini-1.5-pro,3A,appears,IBR,CoNLL-2010
S013,UNCERTAIN,gpt-4o,3B,appears,IBR,CoNLL-2010
S013,UNCERTAIN,claude-3.5-sonnet,3B,appears,IBR,CoNLL-2010
S013,UNCERTAIN,gemini-1.5-pro,3B,appears,IBR,CoNLL-2010
S013,UNCERTAIN,gpt-4o,3C,appears,IBR,CoNLL-2010
S013,UNCERTAIN,claude-3.5-sonnet,3C,appears,IBR,CoNLL-2010
S013,UNCERTAIN,gemini-1.5-pro,3C,appears,IBR,CoNLL-2010
S014,UNCERTAIN,gpt-4o,1A,suggested,IL-2,CoNLL-2010
S014,UNCERTAIN,claude-3.5-sonnet,1A,suggested,IL-2,CoNLL-2010
S014,UNCERTAIN,gemini-1.5-pro,1A,suggested,IL-2,CoNLL-2010
S014,UNCERTAIN,gpt-4o,1B,suggested,IL-2,CoNLL-2010
S014,UNCERTAIN,claude-3.5-sonnet,1B,suggested,IL-2,CoNLL-2010
S014,UNCERTAIN,gemini-1.5-pro,1B,suggested,IL-2,CoNLL-2010
S014,UNCERTAIN,gpt-4o,1C,suggested,IL-2,CoNLL-2010
S014,UNCERTAIN,claude-3.5-sonnet,1C,suggested,IL-2,CoNLL-2010
S014,UNCERTAIN,gemini-1.5-pro,1C,suggested,IL-2,CoNLL-2010
