stimulus_id,source,sentence_id,doc_id,doc_id_type,text,epistemic_tag,epistemic_evidence,stem_term,token_count,negation_cues
S020,CoNLL-2010,S54.6,91351285,PMID,"A transcription factor, NF-AT, which is essential for early T-cell gene activation, seems to be a specific target of cyclosporin A and FK506 action because transcription directed by this protein is blocked in T cells treated with these drugs, with little or no effect on other transcription factors such as AP-1 and NF-kappa B.",UNCERTAIN,"seems, or",NF-AT,54,no
S021,CoNLL-2010,S139.6,92309248,PMID,"To detect the origin of the cell hybridized with a c-myc probe, a combined immunochemistry in situ hybridization histochemistry technique was used.",ASSERTIVE,N/A (no hedge cues),hybridized,22,none
S022,CoNLL-2010,S895.1,8617207,PMID,GATA transcription factors associate with a novel class of nuclear bodies in erythroblasts and megakaryocytes.,ASSERTIVE,N/A (no hedge cues),GATA ,15,none
S023,CoNLL-2010,S435.4,97047769,PMID,Oligonucleotide primers based on the murine sequence were used to construct a quantitative reverse transcription-PCR assay for gene expression.,ASSERTIVE,N/A (no hedge cues),PCR ,19,none
S024,CoNLL-2010,S250.2,93252936,PMID,The type I interleukin-1 receptor (IL-1R) is capable of transducing a signal resulting in promoter activation in T cells.,ASSERTIVE,N/A (no hedge cues),IL-1R,19,none
S025,CoNLL-2010,S953.3,8871623,PMID,"To overcome this problem, we have exploited the observation that activated human T cell blasts can be stimulated via the CD28 surface molecule in the absence of antigenic challenge; thus, we have been able to observe the response of normal T cells to CD28 activation in isolation.",ASSERTIVE,N/A (no hedge cues),CD28,47,absence
S026,CoNLL-2010,S591.7,10339475,PMID,Inhibition with monoclonal antibodies and peptide antagonists inferred that this was due to reduced expression of Ig integrin ligand as well as of chemokines specifically involved in these events.,ASSERTIVE,N/A (no hedge cues),antibodies,29,none
S027,CoNLL-2010,S564.7,10225377,PMID,We found that they reduced the initial interleukin-1beta mRNA transcription rate through prevention of degradation of inhibitor-kappaB alpha.,ASSERTIVE,N/A (no hedge cues),transcription,18,none
S028,CoNLL-2010,S353.2,96264681,PMID,"IL-2-, IL-12-, and IFN-alpha-mediated signaling pathways were analyzed in primary NK cells and in the NK3.3 cell line.",ASSERTIVE,N/A (no hedge cues),IL-2,18,none
S029,CoNLL-2010,S1195.3,9733846,PMID,We have pursued our investigation of the role of the CD4 transduction pathway in HIV-induced apoptosis.,ASSERTIVE,N/A (no hedge cues),CD4,16,none
S030,CoNLL-2010,S949.5,8797708,PMID,Tax does not bind directly to DNA but rather deregulates the activity of cellular transcription factors.,ASSERTIVE,N/A (no hedge cues),DNA ,16,not
S031,CoNLL-2010,S547.6,10202024,PMID,Our results showed that HCMV binding to monocytes resulted in the production and release of IL-1beta protein.,ASSERTIVE,N/A (no hedge cues),HCMV ,17,none
S032,CoNLL-2010,S921.3,8645086,PMID,"OM10.1, a promyelocyte cell line latently infected with HIV-1, has been developed as a model for studying the mechanism of viral latency and the activation of virus expression.",ASSERTIVE,N/A (no hedge cues),HIV-1,28,none
S033,CoNLL-2010,S847.4,8067997,PMID,Stimulation of T-cells by agonistic anti-CD28 antibodies in conjunction with phorbol 12-myristate 13-acetate (PMA)- or TcR-derived signals induces the enhanced activation of the transcription factor NF-kappa B.,ASSERTIVE,N/A (no hedge cues),CD28,27,none
S034,CoNLL-2010,S1085.5,9277478,PMID,"Cytokine-stimulated cell surface expression of vascular cell adhesion molecule-1 (VCAM-1, CD106) and E-selectin (ELAM-1, CD62E), but not of intercellular adhesion molecule-1 (ICAM-1, CD54), was time- and dose-dependently inhibited by TCP succinate but not by TCP or TCP acetate.",ASSERTIVE,N/A (no hedge cues),VCAM-1,38,"not, not"
S035,CoNLL-2010,S611.7,10383397,PMID,"Taken together, DZA promotes the proteolytic degradation of IkappaBalpha, but not IkappaBbeta, resulting in an increase of DNA binding activity of NF-kappaB in the nucleus in the absence of its transcriptional activity in RAW 264.7 cells.",ASSERTIVE,N/A (no hedge cues),DZA ,36,"not, absence"
S036,CoNLL-2010,S929.2,8662928,PMID,The cytoplasmic domain of the receptor for interleukin 10 (IL-10R) contains two box 3 sequence motifs that have been identified in the signal-transducing receptor subunits for IL-6-type cytokines and noted to be required for activating STAT3 and inducing transcription through IL-6-responsive elements.,ASSERTIVE,N/A (no hedge cues),IL-10R,42,none
S037,CoNLL-2010,S268.2,93281652,PMID,"We have previously reported that the T lymphocytes of a child with severe combined immunodeficiency are defective in the transcription of several lymphokine genes that include IL2, IL3, IL4, and IL5, which encode interleukins 2, 3, 4, and 5 (IL-2, -3, -4, and -5).",ASSERTIVE,N/A (no hedge cues),IL-2,44,none
S038,CoNLL-2010,S917.1,8641346,PMID,Interferon-gamma modulates the lipopolysaccharide-induced expression of AP-1 and NF-kappa B at the mRNA and protein level in human monocytes.,ASSERTIVE,N/A (no hedge cues),AP-1,19,none
S039,CoNLL-2010,S794.1,7853483,PMID,Regulation of I kappa B alpha and p105 in monocytes and macrophages persistently infected with human immunodeficiency virus.,ASSERTIVE,N/A (no hedge cues),monocytes,18,none
S040,CoNLL-2010,S812.8,7915123,PMID,"Another limitation is that antioxidant concentrations high enough to block NK-kappa B activation were shown to have a suppressive effect on immune functions in vitro, because NAC and BHA blocked IL-2-induced PBMC proliferation.",ASSERTIVE,N/A (no hedge cues),IL-2,33,none
